,k__Bacteria;NA,k__Bacteria;NA;NA,k__Bacteria;NA;NA;NA,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Bacteroidetes;NA,k__Bacteria;p__Bacteroidetes;NA;NA,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Firmicutes,k__Bacteria;p__Firmicutes;NA,k__Bacteria;p__Firmicutes;NA;NA,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Firmicutes;c__Erysipelotrichia,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
k__Bacteria;p__Firmicutes;c__Erysipelotrichia,0.0,0.0,0.0,-0.09207529322252377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015327499013776264,-0.0004926397981597177,0.10987964314983217,0.1098796431498313,0.0,0.0,-0.0005028456660149649,-0.2143265026339047,-0.0019788698652184254,-0.24461128305829705,0.0,0.0,0.0,0.07356455997213979,0.0,0.0,0.0,0.0,0.021874499719371096,0.021874499719370496,0.0,0.0,0.01994900063581866,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales,0.0,0.0,0.0,-0.05262156211903645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04144184673558764,0.041441846735590544,0.0,0.0,-0.00025613101298352934,-0.00827468257919668,-0.0012154253517368018,-0.3139123902373703,0.0,0.0,0.0,0.1339761894700915,-0.04393828712645872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Negativicutes,0.0035984894259193452,0.00359848942591932,0.0035984894259193396,-0.22044618772440455,0.0,-0.0010187989757186355,0.0,0.07042939208251288,0.0,-0.0003853186837314643,-0.0005274239568278378,0.0,0.0,-0.0005276108209945271,-0.0002480027820104764,-0.0012616566695619316,0.0,0.0,0.0020371143418883267,0.0021281284886914926,-0.001129053151119942,0.0,-0.006109296246886179,-0.0019941910745768657,-0.12554900974386068,-0.036969673713477647,0.0,-0.2192948457393957,0.0023891823493078783,0.05605599854754388,0.0,0.0,0.03358455090516958,0.03358455090516882,0.0,0.0,0.01615896602754822,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,-0.0012614357055931772,-0.0012614357055931768,-0.0012614357055931674,-0.0010405622304904727,-0.00024673382310878866,-0.0995064120453645,0.0,0.09009967699841784,0.0,-0.0006553801582438898,9.437686901016001e-05,0.01995139122585154,0.019951391225852776,9.391926656093882e-05,-0.0011798289572077403,0.0021289957242329504,0.00025687553316437734,0.0002568755331643722,0.10905955445105824,0.0014736131919975708,0.0018350702388011395,-5.02709734149505e-06,-0.0014945504539940458,-0.002115943945499408,0.0,-0.1781516371278327,0.0,-0.3879876539330712,0.19917425491776125,0.0009209914306426105,0.05347494278264073,0.002288169230493918,0.0015603534115184762,0.0015603534115184768,-0.0007207180464021453,-0.04324229682033818,0.02947091391822879,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales,0.0,0.0,0.0,-0.0008854637649657933,0.0,-0.002653471734694318,0.0,-9.733720327364468e-05,0.0,-0.00557139642785881,0.0,0.0011166882133224034,0.0011166882133224034,0.0,0.004462498827089097,0.0,-0.0005045266501422267,-0.0005045266501422267,0.0,0.0835871858502841,0.00022328046701625747,0.0,0.0,1.617382876115005e-05,0.0,0.0,-0.11490761761179429,-5.61962043455799e-05,-0.008562167472328597,-0.03374639723401042,-0.0024669299589931016,-0.06344384178055264,0.002205009980108194,0.0022050099801081934,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria,0.0,0.0,0.0,0.0,0.0,-0.07753349868801471,0.0,0.03763431340594457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017975867162018193,0.0,0.0,0.004300089852049796,0.0029191715695688707,0.001672481212599068,0.10841798343020356,-0.002984377790543521,-0.07651095811393177,-0.025683781716161404,-0.023781968626486325,0.0,-0.5954060654584973,0.18776153420845904,0.00042047500223268595,0.014051546198223224,0.0,0.0,0.0,0.0,0.0,0.0,-0.01856807363004911,-0.018568073630054895,-0.006821935759953609
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.00034513179402164253,0.0003451317940216388,0.00034513179402163917,0.0025091002216183164,0.0,0.0,0.0,0.004171621360436043,0.0,0.0,0.0,0.05851265823471099,0.05851265823470844,0.0,-0.1538245464604188,0.0,0.0,0.0,-0.0021148690929908686,-0.0018165308312360349,0.0005889221274145985,0.000847404779785718,-0.08897020575635013,-0.0027015472018642583,-0.019352885889405296,0.024729444469598114,0.0,-0.0057275566895487375,-0.08809636785117225,0.0,0.0037741236147308226,0.0,0.0,0.0,0.0,-0.026262361433162507,-0.004898617040849129,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12062859667495354,0.0,0.0,0.0,0.0351881440344929,0.03518814403449288,0.0,0.0,0.014879796369637056,0.0,0.0,0.0,0.0,0.09307109232904312,0.0,-0.00401244973600026,-0.1027246948055583,-0.013721988827959568,0.0,0.0,-0.16008800845613508,0.0,0.0,0.005592020043181857,0.0,0.0,0.0,0.008974581647408265,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.00019425071736805263,0.0001942507173680567,0.0001942507173680567,0.0,0.0,0.0,0.0,0.07059287162488498,0.0,-0.12520119634923174,0.060731085415209225,0.05339336173733026,0.05339336173732471,0.057809670489308775,0.001279167279769943,0.05269088749761267,0.0017371269309699768,0.0017371269309699668,0.0035104632950270585,0.002399838713284299,0.0033542313042740283,0.0,0.0004195961670603953,0.0,0.0,0.0,-0.02744700935997913,-0.0004263640701822002,0.0,0.0,-0.19247294659573533,-0.0010697214886571322,0.003872112845696395,0.003872112845696388,0.003443921162250621,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2071617316600561,0.0,-0.19310643260681304,0.10363588352452471,0.04912528772349731,0.049125287723497765,0.10132540018788216,0.0006022413353112139,0.12154784251905093,0.003340054721972544,0.0033400547219725333,0.0,0.0,0.0021587561007886894,0.0,0.0015219665848797805,0.0,0.0,0.0,-0.04148426431665304,0.0,0.0,0.0,-0.21411357697515415,-0.0007357423713789623,0.0,0.0,0.04245170979144206,0.0,0.0,-0.011408476627231734,-0.011408476627234104,0.0
