KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,0.01,scale,0.5564343384412589,0.5791388720436628,0.41947808535178777,0.4988235294117647,0.0,0.0
linear,0.001,scale,0.5558511755336506,0.5761067313523347,0.4194300269127259,0.5011764705882353,0.0,0.0
linear,0.001,scale,0.5557247773084982,0.5955124317768344,0.391196131418006,0.5105882352941177,0.0,0.0
linear,0.01,scale,0.5596709420839902,0.5597331716191631,0.38737969942635003,0.44941176470588234,0.0,0.0
